system:index,bottom,id,left,mean_doubl,right,top,.geo
00000000000000000024,-19.77873699600007,48732,-42.524378993,8.5574,-42.523482993,-19.77784099600007,"{""type"":""Polygon"",""coordinates"":[[[-42.52437769113768,-19.778735161832834],[-42.52348145834058,-19.778735099196968],[-42.52348145834058,-19.7778388074126],[-42.52437769113767,-19.777838879086428],[-42.52437769113768,-19.778735161832834]]]}"
0000000000000000002b,-19.76619299600007,20326,-42.594266993,7.9969,-42.593370993,-19.765296996000068,"{""type"":""Polygon"",""coordinates"":[[[-42.594265182575256,-19.76619170783732],[-42.59336895564078,-19.766191636074435],[-42.59336895564077,-19.76529536344613],[-42.594265182575256,-19.7652953714487],[-42.594265182575256,-19.76619170783732]]]}"
0000000000000000004f,-19.67211299600007,20221,-42.594266993,2.1921,-42.593370993,-19.67121699600007,"{""type"":""Polygon"",""coordinates"":[[[-42.594265182575256,-19.672113574341893],[-42.59336895564077,-19.67211357053919],[-42.59336895564077,-19.671217254129953],[-42.594265182575256,-19.671217267000536],[-42.594265182575256,-19.672113574341893]]]}"
0000000000000000005e,-19.750960996000067,35233,-42.557530993,1.8205,-42.556634993,-19.750064996000066,"{""type"":""Polygon"",""coordinates"":[[[-42.55753114641269,-19.75095937429507],[-42.556634884970535,-19.750959368602572],[-42.55663488497054,-19.750063067455315],[-42.55753114641269,-19.75006308219839],[-42.55753114641269,-19.75095937429507]]]}"
00000000000000000028,-19.78859299600007,21807,-42.590682993,4.0053,-42.58978699300001,-19.78769699600007,"{""type"":""Polygon"",""coordinates"":[[[-42.59068459251966,-19.788594193625382],[-42.58978830385674,-19.788594177191207],[-42.58978830385674,-19.787697938957276],[-42.590684592519665,-19.787697891619608],[-42.59068459251966,-19.788594193625382]]]}"
0000000000000000001c,-19.76977699600007,65102,-42.484058993,6.355,-42.483162993,-19.768880996000068,"{""type"":""Polygon"",""coordinates"":[[[-42.484058495662254,-19.769776776595204],[-42.48316224500545,-19.769776796960475],[-42.48316224500545,-19.76888049327159],[-42.484058495662254,-19.768880554844724],[-42.484058495662254,-19.769776776595204]]]}"
0000000000000000005d,-19.715120996000067,36649,-42.553946993,7.4057,-42.55305099300001,-19.71422499600007,"{""type"":""Polygon"",""coordinates"":[[[-42.553946008113606,-19.71512158405441],[-42.55304975979165,-19.71512160625937],[-42.553049759791655,-19.71422531747506],[-42.553946008113606,-19.714225304322532],[-42.553946008113606,-19.71512158405441]]]}"
00000000000000000032,-19.538608996000068,51376,-42.517210993,7.4359,-42.516314993,-19.537712996000067,"{""type"":""Polygon"",""coordinates"":[[[-42.51721196409443,-19.53860804911653],[-42.516315683095584,-19.538608039925286],[-42.51631568309558,-19.537711776263084],[-42.517211964094436,-19.5377117945111],[-42.51721196409443,-19.53860804911653]]]}"
00000000000000000051,-19.700784996000067,51557,-42.517210993,2.9712,-42.516314993,-19.69988899600007,"{""type"":""Polygon"",""coordinates"":[[[-42.51721196409443,-19.70078559626852],[-42.516315683095584,-19.700785549244575],[-42.51631568309558,-19.699889302771254],[-42.51721196409443,-19.699889285973075],[-42.51721196409443,-19.70078559626852]]]}"
00000000000000000021,-19.765296996000068,53085,-42.513626993,0.3184,-42.512730993000005,-19.764400996000067,"{""type"":""Polygon"",""coordinates"":[[[-42.51362682262983,-19.765295377388963],[-42.512730554942486,-19.76529542365409],[-42.512730554942486,-19.764399141355746],[-42.51362682262983,-19.764399104127214],[-42.51362682262983,-19.765295377388963]]]}"
0000000000000000004b,-19.67838499600007,52988,-42.513626993,9.3249,-42.512730993000005,-19.67748899600007,"{""type"":""Polygon"",""coordinates"":[[[-42.51362682262983,-19.67838307088468],[-42.512730554942486,-19.678383042138954],[-42.51273055494248,-19.677486763321824],[-42.51362682262983,-19.677486801111264],[-42.51362682262983,-19.67838307088468]]]}"
